epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.6851999759674072,0.9172404408454895,0.001,0.10679999738931656,28.421361923217773
1,0.6628222465515137,0.9757317900657654,0.001,0.07540000230073929,9.76574993133545
2,0.6723777651786804,0.9530457258224487,0.001,0.09139999747276306,4.96301794052124
3,0.6735777854919434,0.9506033062934875,0.001,0.11079999804496765,4.444591999053955
4,0.6814444661140442,0.9287693500518799,0.001,0.10660000145435333,3.4554617404937744
5,0.6887555718421936,0.9088989496231079,0.001,0.12720000743865967,8.88718318939209
6,0.6885111331939697,0.9007698893547058,0.001,0.10440000146627426,4.160655498504639
7,0.6830666661262512,0.9056950807571411,0.001,0.0812000036239624,8.916234970092773
8,0.7106888890266418,0.8284828066825867,0.001,0.09939999878406525,16.869070053100586
9,0.7193999886512756,0.8093656301498413,0.001,0.09359999746084213,12.350301742553711
10,0.7702444195747375,0.6563981175422668,0.0005,0.12039999663829803,5.28862190246582
11,0.7914444208145142,0.5921425819396973,0.0005,0.10700000077486038,8.461644172668457
12,0.8067111372947693,0.5458863377571106,0.0005,0.10339999943971634,24.893905639648438
13,0.8158000111579895,0.5248730778694153,0.0005,0.08219999819993973,7.253961563110352
14,0.8289999961853027,0.4824911952018738,0.0005,0.09799999743700027,13.321338653564453
15,0.8644222021102905,0.38448774814605713,0.00025,0.1273999959230423,9.114601135253906
16,0.8795111179351807,0.34074753522872925,0.00025,0.1518000066280365,8.570053100585938
17,0.8857333064079285,0.3197711706161499,0.00025,0.21619999408721924,4.295450210571289
18,0.895622193813324,0.29411444067955017,0.00025,0.15440000593662262,8.702988624572754
19,0.900422215461731,0.280131459236145,0.00025,0.17960000038146973,7.874725818634033
20,0.9172888994216919,0.24232898652553558,0.000125,0.4099999964237213,3.404768466949463
21,0.922511100769043,0.2172035425901413,0.000125,0.12280000001192093,8.081330299377441
22,0.9285110831260681,0.20199669897556305,0.000125,0.17820000648498535,8.248900413513184
23,0.9339333176612854,0.18964239954948425,0.000125,0.43560001254081726,3.3237879276275635
24,0.9338222146034241,0.1849542111158371,0.000125,0.18619999289512634,8.705606460571289
25,0.9391999840736389,0.17320823669433594,0.000125,0.4124000072479248,3.5689194202423096
26,0.9384889006614685,0.17746226489543915,0.000125,0.37139999866485596,4.566253662109375
27,0.9397333264350891,0.172476127743721,0.000125,0.3140000104904175,4.713533878326416
28,0.9438222050666809,0.15921640396118164,0.000125,0.5618000030517578,2.4662327766418457
29,0.9460222125053406,0.15635547041893005,0.000125,0.13120000064373016,11.881882667541504
30,0.9472444653511047,0.15467025339603424,0.000125,0.13019999861717224,10.89736270904541
31,0.9461777806282043,0.1594003438949585,0.000125,0.38679999113082886,4.149570941925049
32,0.9459111094474792,0.15683512389659882,0.000125,0.46619999408721924,3.1864731311798096
33,0.9519333243370056,0.14083339273929596,0.000125,0.31200000643730164,5.52026891708374
34,0.9569110870361328,0.12509386241436005,6.25e-05,0.6101999878883362,2.1360902786254883
35,0.9606000185012817,0.11521469056606293,6.25e-05,0.4431999921798706,3.6772265434265137
36,0.9606000185012817,0.11557231098413467,6.25e-05,0.5544000267982483,2.567828416824341
37,0.9623110890388489,0.11090029031038284,6.25e-05,0.47780001163482666,3.4639596939086914
38,0.9633777737617493,0.1063733622431755,6.25e-05,0.36059999465942383,4.900117874145508
39,0.9626222252845764,0.10869552195072174,6.25e-05,0.6032000184059143,2.3152594566345215
40,0.9639333486557007,0.10208159685134888,3.125e-05,0.6444000005722046,2.0025417804718018
41,0.9663110971450806,0.09548483043909073,3.125e-05,0.6620000004768372,1.9572081565856934
42,0.9660888910293579,0.09855163097381592,3.125e-05,0.6345999836921692,2.1343512535095215
43,0.9675777554512024,0.0950644239783287,3.125e-05,0.6245999932289124,2.2111573219299316
44,0.967044472694397,0.09619501978158951,3.125e-05,0.5393999814987183,2.950200319290161
45,0.9673110842704773,0.09577261656522751,3.125e-05,0.65420001745224,1.9371922016143799
46,0.9699777960777283,0.08997093141078949,3.125e-05,0.6656000018119812,1.9131042957305908
47,0.9700666666030884,0.08891423791646957,3.125e-05,0.6060000061988831,2.4506585597991943
48,0.9703111052513123,0.08734431862831116,3.125e-05,0.5320000052452087,3.0455808639526367
49,0.9704889059066772,0.08917857706546783,3.125e-05,0.40700000524520874,4.413121223449707
50,0.969177782535553,0.09100524336099625,3.125e-05,0.6110000014305115,2.2949090003967285
51,0.9701555371284485,0.08712001144886017,3.125e-05,0.5985999703407288,2.528150796890259
52,0.9736889004707336,0.07940201461315155,1.5625e-05,0.6732000112533569,1.887906789779663
53,0.9725555777549744,0.08336249738931656,1.5625e-05,0.6651999950408936,1.9423587322235107
54,0.9707777500152588,0.08462747931480408,1.5625e-05,0.6492000222206116,2.083925485610962
55,0.9725111126899719,0.0813213363289833,1.5625e-05,0.5758000016212463,2.7959680557250977
56,0.9723333120346069,0.0832858681678772,1.5625e-05,0.6015999913215637,2.4874532222747803
57,0.9733333587646484,0.07908248156309128,1.5625e-05,0.6725999712944031,1.9305980205535889
58,0.9747111201286316,0.07619509100914001,7.8125e-06,0.6164000034332275,2.3927128314971924
59,0.9740889072418213,0.0751323476433754,7.8125e-06,0.6818000078201294,1.874982237815857
60,0.97397780418396,0.07632046192884445,7.8125e-06,0.6790000200271606,1.924252986907959
61,0.9746444225311279,0.07556382566690445,7.8125e-06,0.6710000038146973,1.9490617513656616
62,0.975088894367218,0.07566099613904953,7.8125e-06,0.6402000188827515,2.221270799636841
63,0.9748222231864929,0.07470288872718811,7.8125e-06,0.6638000011444092,2.0152242183685303
64,0.976111114025116,0.07313960790634155,7.8125e-06,0.673799991607666,1.929426908493042
65,0.9746000170707703,0.07645720988512039,3.90625e-06,0.6682000160217285,1.9957000017166138
66,0.974911093711853,0.07428266853094101,3.90625e-06,0.6732000112533569,1.9233704805374146
67,0.9741555452346802,0.07929344475269318,3.90625e-06,0.6728000044822693,1.9149543046951294
68,0.9742444157600403,0.07264858484268188,3.90625e-06,0.6808000206947327,1.903552532196045
69,0.975422203540802,0.0734051838517189,3.90625e-06,0.6664000153541565,2.004312038421631
70,0.9746888875961304,0.0742010697722435,1.953125e-06,0.678600013256073,1.9249224662780762
71,0.9749333262443542,0.07630299031734467,1.953125e-06,0.6819999814033508,1.9007457494735718
72,0.9749555587768555,0.07224267721176147,1.953125e-06,0.6837999820709229,1.9013671875
73,0.9748888611793518,0.07491721212863922,1.953125e-06,0.6794000267982483,1.9233652353286743
74,0.9756444692611694,0.07248230278491974,1.953125e-06,0.6800000071525574,1.9129537343978882
75,0.9760888814926147,0.07021360099315643,9.765625e-07,0.682200014591217,1.9062448740005493
76,0.9758666753768921,0.07319433242082596,9.765625e-07,0.6808000206947327,1.9057197570800781
77,0.9756222367286682,0.07101491093635559,9.765625e-07,0.6790000200271606,1.9114010334014893
78,0.9773777723312378,0.06933584064245224,9.765625e-07,0.6805999875068665,1.9085978269577026
79,0.9768444299697876,0.06812891364097595,9.765625e-07,0.6814000010490417,1.9081954956054688
80,0.9755555391311646,0.06965479254722595,4.882813e-07,0.6832000017166138,1.9030499458312988
81,0.9759555459022522,0.07156094163656235,4.882813e-07,0.6836000084877014,1.9051342010498047
82,0.9763777852058411,0.07321164757013321,4.882813e-07,0.6841999888420105,1.9013640880584717
83,0.9759111404418945,0.07248856127262115,4.882813e-07,0.6801999807357788,1.9083130359649658
84,0.974133312702179,0.0738033801317215,4.882813e-07,0.6833999752998352,1.9052835702896118
85,0.9766666889190674,0.06817412376403809,2.4414064e-07,0.6814000010490417,1.910375952720642
86,0.9765555262565613,0.06953907012939453,2.4414064e-07,0.6814000010490417,1.9079806804656982
87,0.9763777852058411,0.06982135772705078,2.4414064e-07,0.6812000274658203,1.908933401107788
88,0.9764000177383423,0.06821885704994202,2.4414064e-07,0.6819999814033508,1.9075074195861816
89,0.9747111201286316,0.07311435788869858,2.4414064e-07,0.682200014591217,1.9091885089874268
